loan_amnt,term,verification_status,gradeencoding,emplen,purpose,home_ownership,loan_status
15000.0,36,Not Verified,6.3,1,small_business,MORTGAGE,Fully Paid
18000.0,60,Not Verified,2.3,12,debt_consolidation,MORTGAGE,Fully Paid
35000.0,60,Verified,3.4,3,home_improvement,MORTGAGE,Fully Paid
10000.0,36,Source Verified,4.5,2,credit_card,RENT,Fully Paid
11800.0,36,Source Verified,5.2,6,credit_card,RENT,Fully Paid
4500.0,36,Source Verified,6.6,4,major_purchase,RENT,Fully Paid
7000.0,36,Source Verified,5.2,12,credit_card,RENT,Fully Paid
9200.0,36,Source Verified,5.3,2,debt_consolidation,RENT,Fully Paid
14000.0,60,Verified,3.4,4,other,RENT,Fully Paid
4500.0,60,Source Verified,5.5,0,car,MORTGAGE,Fully Paid
12000.0,36,Verified,3.6,9,debt_consolidation,RENT,Fully Paid
12000.0,36,Source Verified,4.6,4,debt_consolidation,RENT,Fully Paid
12000.0,36,Verified,5.5,0,credit_card,RENT,Fully Paid
7000.0,36,Not Verified,5.5,3,credit_card,MORTGAGE,Fully Paid
8200.0,60,Source Verified,2.4,3,debt_consolidation,RENT,Fully Paid
10500.0,36,Verified,5.2,12,medical,RENT,Fully Paid
7000.0,36,Not Verified,5.4,4,debt_consolidation,OWN,Fully Paid
15300.0,60,Verified,1.2999999999999998,6,credit_card,RENT,Fully Paid
20000.0,60,Verified,5.4,4,debt_consolidation,MORTGAGE,Fully Paid
17500.0,60,Not Verified,3.4,7,credit_card,MORTGAGE,Charged Off
3500.0,36,Verified,6.6,12,car,MORTGAGE,Fully Paid
6000.0,60,Source Verified,5.2,0,major_purchase,RENT,Fully Paid
6200.0,36,Not Verified,5.6,2,debt_consolidation,RENT,Charged Off
16000.0,60,Not Verified,3.3,7,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,6.2,8,debt_consolidation,OWN,Fully Paid
7200.0,36,Not Verified,5.6,6,credit_card,RENT,Fully Paid
9500.0,36,Not Verified,6.2,7,credit_card,MORTGAGE,Fully Paid
18825.0,60,Verified,3.5,12,debt_consolidation,RENT,Charged Off
24000.0,36,Verified,5.5,12,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,4.6,12,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,4.6,5,debt_consolidation,RENT,Fully Paid
2100.0,36,Not Verified,5.3,12,vacation,MORTGAGE,Fully Paid
5500.0,36,Verified,6.5,8,small_business,MORTGAGE,Fully Paid
11000.0,36,Source Verified,6.5,8,debt_consolidation,OWN,Fully Paid
26800.0,60,Verified,1.6,3,debt_consolidation,MORTGAGE,Fully Paid
8000.0,36,Not Verified,5.2,5,debt_consolidation,MORTGAGE,Fully Paid
10000.0,36,Source Verified,3.2,1,credit_card,RENT,Charged Off
8000.0,36,Verified,5.4,9,credit_card,MORTGAGE,Fully Paid
10000.0,36,Verified,6.2,6,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,5.4,2,debt_consolidation,MORTGAGE,Fully Paid
10000.0,36,Not Verified,6.3,1,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,5.6,1,debt_consolidation,RENT,Fully Paid
25000.0,60,Verified,4.6,12,credit_card,MORTGAGE,Charged Off
19750.0,36,Verified,5.5,4,debt_consolidation,RENT,Charged Off
10000.0,36,Source Verified,5.6,3,debt_consolidation,RENT,Fully Paid
13650.0,36,Verified,5.3,4,debt_consolidation,RENT,Fully Paid
28000.0,60,Verified,2.3,12,debt_consolidation,RENT,Charged Off
18000.0,36,Source Verified,6.3,12,debt_consolidation,RENT,Fully Paid
2500.0,36,Source Verified,4.5,7,debt_consolidation,RENT,Fully Paid
21000.0,60,Verified,2.2,12,credit_card,RENT,Fully Paid
35000.0,36,Verified,6.2,6,debt_consolidation,MORTGAGE,Fully Paid
10000.0,36,Not Verified,6.4,3,credit_card,RENT,Fully Paid
7000.0,36,Source Verified,5.2,0,credit_card,RENT,Fully Paid
24000.0,36,Source Verified,4.2,8,home_improvement,MORTGAGE,Charged Off
10625.0,36,Not Verified,6.4,5,medical,MORTGAGE,Fully Paid
5000.0,36,Source Verified,4.4,2,debt_consolidation,RENT,Fully Paid
8850.0,36,Source Verified,6.5,12,credit_card,RENT,Fully Paid
6375.0,36,Source Verified,6.4,4,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,5.4,1,credit_card,RENT,Fully Paid
11100.0,36,Verified,6.5,12,credit_card,RENT,Charged Off
10000.0,60,Source Verified,5.2,2,debt_consolidation,MORTGAGE,Fully Paid
6200.0,36,Not Verified,6.6,5,small_business,MORTGAGE,Fully Paid
15000.0,36,Not Verified,2.6,1,debt_consolidation,RENT,Fully Paid
4200.0,36,Not Verified,5.4,2,other,RENT,Fully Paid
14000.0,36,Not Verified,4.5,4,debt_consolidation,RENT,Fully Paid
8875.0,36,Not Verified,6.4,1,debt_consolidation,MORTGAGE,Fully Paid
13500.0,36,Verified,5.6,7,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,5.6,2,debt_consolidation,RENT,Charged Off
16000.0,60,Verified,2.3,4,debt_consolidation,RENT,Fully Paid
21600.0,60,Source Verified,2.4,8,debt_consolidation,MORTGAGE,Fully Paid
6000.0,36,Not Verified,5.5,6,home_improvement,MORTGAGE,Fully Paid
8450.0,60,Verified,3.5,5,debt_consolidation,OWN,Fully Paid
20000.0,60,Not Verified,4.6,1,credit_card,RENT,Fully Paid
10000.0,36,Not Verified,5.4,8,debt_consolidation,RENT,Charged Off
12000.0,36,Verified,3.6,5,credit_card,MORTGAGE,Fully Paid
13475.0,60,Verified,4.6,12,credit_card,RENT,Charged Off
7200.0,36,Not Verified,5.3,5,major_purchase,RENT,Fully Paid
5600.0,36,Not Verified,4.4,1,debt_consolidation,MORTGAGE,Charged Off
12000.0,36,Verified,4.5,0,debt_consolidation,RENT,Fully Paid
8500.0,36,Not Verified,6.6,2,credit_card,RENT,Fully Paid
8000.0,36,Source Verified,5.6,2,credit_card,RENT,Fully Paid
8000.0,36,Not Verified,5.3,12,credit_card,RENT,Fully Paid
16000.0,60,Source Verified,4.3,12,debt_consolidation,RENT,Fully Paid
15000.0,36,Source Verified,3.4,2,house,MORTGAGE,Fully Paid
10000.0,36,Not Verified,5.6,2,debt_consolidation,OWN,Fully Paid
10000.0,36,Not Verified,6.5,5,credit_card,MORTGAGE,Fully Paid
8000.0,36,Not Verified,4.4,3,car,RENT,Fully Paid
22000.0,36,Verified,5.6,2,debt_consolidation,MORTGAGE,Fully Paid
6000.0,36,Verified,4.5,12,car,MORTGAGE,Fully Paid
16000.0,60,Verified,5.6,12,debt_consolidation,OWN,Fully Paid
13500.0,36,Source Verified,5.6,2,credit_card,MORTGAGE,Fully Paid
25000.0,36,Verified,5.3,2,debt_consolidation,RENT,Fully Paid
10000.0,36,Verified,4.6,2,small_business,RENT,Fully Paid
2500.0,36,Not Verified,4.6,4,debt_consolidation,RENT,Fully Paid
7325.0,36,Not Verified,5.2,1,debt_consolidation,RENT,Fully Paid
4000.0,36,Verified,5.3,5,credit_card,RENT,Fully Paid
10000.0,36,Not Verified,4.6,5,small_business,RENT,Charged Off
7750.0,36,Not Verified,3.4,0,debt_consolidation,RENT,Charged Off
20000.0,60,Source Verified,1.6,6,debt_consolidation,RENT,Charged Off
9600.0,36,Verified,5.3,12,debt_consolidation,RENT,Fully Paid
21000.0,60,Not Verified,5.4,3,debt_consolidation,RENT,Charged Off
14000.0,36,Source Verified,5.5,3,credit_card,RENT,Fully Paid
13350.0,36,Not Verified,5.3,12,debt_consolidation,RENT,Fully Paid
15000.0,36,Verified,3.5,12,debt_consolidation,RENT,Charged Off
15000.0,36,Source Verified,3.4,8,debt_consolidation,RENT,Charged Off
11000.0,60,Verified,4.6,12,debt_consolidation,MORTGAGE,Fully Paid
35000.0,36,Verified,5.5,2,debt_consolidation,MORTGAGE,Fully Paid
9000.0,36,Source Verified,5.5,9,credit_card,MORTGAGE,Fully Paid
22475.0,60,Verified,4.3,7,debt_consolidation,MORTGAGE,Fully Paid
16000.0,36,Source Verified,5.2,1,debt_consolidation,RENT,Charged Off
13500.0,36,Source Verified,5.2,5,debt_consolidation,RENT,Fully Paid
24000.0,36,Verified,5.2,12,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,5.5,5,credit_card,RENT,Fully Paid
8400.0,60,Not Verified,3.5,5,major_purchase,RENT,Fully Paid
28000.0,60,Verified,3.3,5,home_improvement,MORTGAGE,Fully Paid
14000.0,36,Source Verified,6.5,12,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,4.5,8,other,MORTGAGE,Charged Off
25000.0,36,Verified,5.4,12,debt_consolidation,MORTGAGE,Fully Paid
9000.0,36,Source Verified,5.2,5,debt_consolidation,RENT,Fully Paid
13250.0,36,Not Verified,5.5,4,debt_consolidation,RENT,Fully Paid
20000.0,36,Verified,4.6,6,debt_consolidation,RENT,Fully Paid
3000.0,36,Verified,4.4,5,medical,RENT,Fully Paid
7350.0,36,Not Verified,5.5,12,debt_consolidation,MORTGAGE,Fully Paid
11500.0,36,Not Verified,4.3,5,debt_consolidation,RENT,Fully Paid
13650.0,36,Not Verified,5.3,12,debt_consolidation,MORTGAGE,Charged Off
10500.0,36,Source Verified,3.6,3,debt_consolidation,RENT,Charged Off
12000.0,36,Not Verified,5.6,2,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,6.2,3,credit_card,RENT,Fully Paid
11500.0,36,Verified,4.3,12,credit_card,MORTGAGE,Fully Paid
7000.0,36,Not Verified,5.3,7,debt_consolidation,MORTGAGE,Fully Paid
29500.0,60,Source Verified,2.2,6,debt_consolidation,MORTGAGE,Fully Paid
2000.0,36,Verified,4.3,2,moving,RENT,Fully Paid
11625.0,36,Source Verified,4.6,0,credit_card,MORTGAGE,Fully Paid
15075.0,36,Verified,4.5,12,debt_consolidation,RENT,Charged Off
5300.0,36,Verified,4.3,1,credit_card,RENT,Fully Paid
8200.0,36,Source Verified,6.5,0,home_improvement,RENT,Fully Paid
12000.0,36,Not Verified,5.3,9,credit_card,MORTGAGE,Fully Paid
8650.0,36,Source Verified,4.5,4,credit_card,MORTGAGE,Fully Paid
21000.0,60,Verified,3.4,12,debt_consolidation,MORTGAGE,Fully Paid
16000.0,60,Source Verified,3.4,2,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,5.3,2,debt_consolidation,RENT,Fully Paid
9500.0,36,Source Verified,5.2,0,moving,MORTGAGE,Charged Off
7400.0,36,Source Verified,4.6,0,debt_consolidation,OWN,Fully Paid
14400.0,36,Not Verified,4.6,12,debt_consolidation,MORTGAGE,Fully Paid
24250.0,60,Verified,0.29999999999999993,7,debt_consolidation,MORTGAGE,Fully Paid
7200.0,36,Source Verified,6.3,3,debt_consolidation,RENT,Charged Off
26000.0,60,Verified,3.5,12,home_improvement,MORTGAGE,Charged Off
7000.0,60,Verified,5.4,6,credit_card,MORTGAGE,Charged Off
4000.0,36,Source Verified,6.4,0,major_purchase,RENT,Fully Paid
1500.0,36,Verified,3.4,12,debt_consolidation,MORTGAGE,Fully Paid
19600.0,36,Verified,5.3,2,credit_card,RENT,Fully Paid
2500.0,36,Verified,5.4,7,debt_consolidation,MORTGAGE,Fully Paid
10000.0,36,Not Verified,5.2,2,credit_card,RENT,Charged Off
10000.0,36,Not Verified,6.5,5,credit_card,RENT,Fully Paid
4225.0,36,Not Verified,5.3,5,other,MORTGAGE,Fully Paid
3500.0,36,Not Verified,6.3,7,vacation,MORTGAGE,Fully Paid
12000.0,36,Not Verified,6.5,12,debt_consolidation,MORTGAGE,Fully Paid
16500.0,36,Source Verified,6.2,0,debt_consolidation,RENT,Fully Paid
22000.0,60,Verified,1.4,0,debt_consolidation,RENT,Fully Paid
12000.0,36,Verified,4.4,1,credit_card,RENT,Fully Paid
15600.0,60,Source Verified,5.2,12,vacation,RENT,Charged Off
10800.0,36,Verified,5.3,8,credit_card,RENT,Fully Paid
14000.0,36,Not Verified,5.3,12,credit_card,MORTGAGE,Fully Paid
18825.0,60,Verified,3.3,4,debt_consolidation,MORTGAGE,Fully Paid
6000.0,36,Not Verified,4.6,5,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,Not Verified,5.6,5,debt_consolidation,RENT,Fully Paid
10000.0,36,Not Verified,5.3,4,debt_consolidation,RENT,Fully Paid
8000.0,36,Not Verified,6.3,2,vacation,RENT,Fully Paid
14125.0,36,Verified,5.6,1,debt_consolidation,RENT,Fully Paid
14000.0,36,Not Verified,5.2,5,debt_consolidation,RENT,Fully Paid
13200.0,60,Source Verified,3.4,3,small_business,RENT,Fully Paid
4000.0,36,Not Verified,2.5,12,vacation,MORTGAGE,Fully Paid
4000.0,36,Not Verified,5.2,2,debt_consolidation,RENT,Charged Off
10500.0,36,Source Verified,6.6,12,debt_consolidation,MORTGAGE,Fully Paid
5500.0,36,Source Verified,6.3,12,car,OWN,Fully Paid
7350.0,36,Verified,5.4,1,debt_consolidation,RENT,Fully Paid
10000.0,36,Source Verified,5.3,12,credit_card,RENT,Charged Off
12000.0,36,Not Verified,6.4,12,debt_consolidation,RENT,Fully Paid
5000.0,60,Not Verified,5.4,5,home_improvement,MORTGAGE,Fully Paid
8000.0,60,Source Verified,5.4,3,other,OWN,Fully Paid
4500.0,36,Verified,6.2,12,other,MORTGAGE,Fully Paid
18000.0,36,Verified,5.3,1,credit_card,OWN,Fully Paid
12300.0,60,Source Verified,4.6,2,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,Not Verified,4.6,6,debt_consolidation,RENT,Fully Paid
10000.0,36,Not Verified,4.6,12,credit_card,MORTGAGE,Fully Paid
6000.0,36,Not Verified,6.3,7,other,MORTGAGE,Fully Paid
12000.0,36,Not Verified,5.2,4,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,6.2,7,other,RENT,Charged Off
7000.0,36,Source Verified,5.4,2,debt_consolidation,RENT,Fully Paid
35000.0,60,Verified,2.6,8,debt_consolidation,MORTGAGE,Fully Paid
1400.0,36,Not Verified,6.3,1,other,RENT,Fully Paid
16000.0,60,Verified,4.6,12,small_business,RENT,Charged Off
3200.0,36,Not Verified,5.6,9,debt_consolidation,RENT,Fully Paid
8000.0,36,Not Verified,6.3,1,medical,RENT,Fully Paid
11875.0,60,Source Verified,5.2,0,debt_consolidation,RENT,Charged Off
5000.0,36,Not Verified,6.6,9,home_improvement,MORTGAGE,Fully Paid
1800.0,36,Not Verified,6.5,12,small_business,RENT,Fully Paid
35000.0,36,Verified,6.2,5,debt_consolidation,RENT,Fully Paid
18000.0,36,Verified,6.2,5,credit_card,RENT,Fully Paid
14000.0,36,Not Verified,6.3,12,debt_consolidation,OWN,Charged Off
5000.0,36,Not Verified,5.3,2,debt_consolidation,RENT,Fully Paid
8000.0,36,Source Verified,4.2,4,credit_card,RENT,Fully Paid
10000.0,36,Not Verified,6.6,9,debt_consolidation,MORTGAGE,Fully Paid
10000.0,36,Verified,6.4,5,debt_consolidation,RENT,Fully Paid
12000.0,36,Verified,5.3,12,debt_consolidation,MORTGAGE,Fully Paid
23200.0,36,Verified,6.3,3,debt_consolidation,MORTGAGE,Fully Paid
18000.0,60,Verified,4.3,1,credit_card,MORTGAGE,Fully Paid
4800.0,36,Not Verified,4.3,12,debt_consolidation,MORTGAGE,Fully Paid
7300.0,36,Not Verified,5.4,6,debt_consolidation,RENT,Fully Paid
10400.0,36,Source Verified,5.6,6,debt_consolidation,RENT,Fully Paid
6600.0,36,Not Verified,5.6,1,house,MORTGAGE,Fully Paid
12000.0,36,Not Verified,6.2,7,debt_consolidation,OWN,Fully Paid
13250.0,36,Verified,3.4,12,debt_consolidation,RENT,Fully Paid
12000.0,36,Source Verified,5.4,3,debt_consolidation,RENT,Fully Paid
25000.0,36,Source Verified,5.6,9,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,5.5,12,other,RENT,Fully Paid
12000.0,36,Not Verified,6.4,12,credit_card,MORTGAGE,Fully Paid
14400.0,36,Not Verified,5.4,1,credit_card,RENT,Fully Paid
10000.0,36,Not Verified,5.3,12,credit_card,RENT,Fully Paid
8000.0,36,Not Verified,5.4,1,credit_card,RENT,Fully Paid
8000.0,36,Not Verified,3.6,5,credit_card,RENT,Charged Off
30000.0,60,Source Verified,5.3,3,small_business,RENT,Charged Off
18000.0,60,Not Verified,3.5,6,home_improvement,OWN,Charged Off
13250.0,36,Not Verified,5.4,2,credit_card,OWN,Fully Paid
14000.0,36,Not Verified,4.5,6,debt_consolidation,RENT,Fully Paid
20000.0,60,Verified,2.2,12,debt_consolidation,OWN,Charged Off
10000.0,36,Verified,3.6,12,credit_card,RENT,Fully Paid
35000.0,60,Verified,2.2,5,debt_consolidation,RENT,Fully Paid
4000.0,36,Not Verified,6.6,1,debt_consolidation,RENT,Fully Paid
13000.0,36,Not Verified,5.6,6,debt_consolidation,RENT,Fully Paid
28000.0,36,Source Verified,5.2,5,credit_card,RENT,Fully Paid
10000.0,36,Not Verified,4.6,3,debt_consolidation,RENT,Fully Paid
20000.0,36,Verified,6.3,0,debt_consolidation,RENT,Fully Paid
18000.0,36,Verified,5.6,5,debt_consolidation,RENT,Fully Paid
9000.0,60,Verified,2.3,3,credit_card,RENT,Charged Off
25000.0,60,Verified,2.6,12,debt_consolidation,RENT,Charged Off
10000.0,36,Not Verified,5.4,3,other,RENT,Fully Paid
4200.0,36,Not Verified,6.6,3,credit_card,RENT,Fully Paid
20000.0,60,Verified,4.3,12,debt_consolidation,OWN,Charged Off
18000.0,60,Verified,3.4,1,debt_consolidation,MORTGAGE,Charged Off
24000.0,36,Verified,3.6,2,debt_consolidation,RENT,Fully Paid
4475.0,36,Not Verified,4.3,3,credit_card,RENT,Fully Paid
20000.0,60,Verified,4.4,2,credit_card,MORTGAGE,Fully Paid
12000.0,36,Source Verified,5.3,5,credit_card,RENT,Fully Paid
5000.0,36,Source Verified,5.3,2,debt_consolidation,RENT,Charged Off
3000.0,36,Not Verified,6.6,5,other,RENT,Fully Paid
25000.0,60,Verified,2.5,12,debt_consolidation,RENT,Fully Paid
18000.0,60,Source Verified,2.5,3,credit_card,RENT,Fully Paid
12000.0,36,Not Verified,5.6,12,debt_consolidation,RENT,Charged Off
20000.0,36,Verified,4.3,12,other,MORTGAGE,Fully Paid
10000.0,36,Verified,4.6,3,debt_consolidation,RENT,Fully Paid
15000.0,36,Verified,5.3,6,debt_consolidation,OWN,Fully Paid
12000.0,36,Source Verified,6.3,0,debt_consolidation,MORTGAGE,Fully Paid
20000.0,60,Verified,5.5,2,debt_consolidation,MORTGAGE,Fully Paid
6300.0,36,Not Verified,5.4,2,credit_card,RENT,Fully Paid
20000.0,60,Verified,3.5,7,credit_card,RENT,Fully Paid
35000.0,60,Source Verified,3.4,8,debt_consolidation,MORTGAGE,Fully Paid
8250.0,60,Verified,4.2,2,home_improvement,MORTGAGE,Fully Paid
20000.0,60,Source Verified,5.2,7,home_improvement,OWN,Fully Paid
10000.0,36,Not Verified,5.4,5,credit_card,RENT,Charged Off
24000.0,36,Verified,6.2,12,car,MORTGAGE,Charged Off
14400.0,36,Not Verified,5.2,9,debt_consolidation,MORTGAGE,Fully Paid
6000.0,36,Not Verified,4.4,7,credit_card,RENT,Fully Paid
22000.0,36,Verified,4.2,5,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,Source Verified,5.4,12,debt_consolidation,RENT,Charged Off
16000.0,36,Source Verified,3.5,0,debt_consolidation,MORTGAGE,Fully Paid
10000.0,36,Not Verified,5.5,12,debt_consolidation,MORTGAGE,Fully Paid
16000.0,60,Source Verified,2.5,8,home_improvement,MORTGAGE,Fully Paid
10000.0,36,Source Verified,5.2,2,debt_consolidation,RENT,Charged Off
3500.0,36,Not Verified,4.6,7,debt_consolidation,RENT,Fully Paid
9600.0,36,Not Verified,5.6,5,debt_consolidation,RENT,Fully Paid
9875.0,36,Source Verified,6.3,12,debt_consolidation,MORTGAGE,Fully Paid
21500.0,60,Verified,3.3,2,debt_consolidation,OWN,Fully Paid
4800.0,36,Source Verified,6.3,6,debt_consolidation,RENT,Fully Paid
7800.0,36,Not Verified,6.6,12,major_purchase,OWN,Fully Paid
20000.0,36,Verified,4.5,12,credit_card,MORTGAGE,Fully Paid
9750.0,36,Not Verified,6.4,4,debt_consolidation,RENT,Charged Off
18000.0,60,Verified,4.2,6,credit_card,MORTGAGE,Fully Paid
5000.0,36,Not Verified,6.6,9,other,MORTGAGE,Fully Paid
9000.0,36,Source Verified,4.4,4,debt_consolidation,RENT,Fully Paid
7200.0,36,Not Verified,6.3,1,debt_consolidation,RENT,Fully Paid
25000.0,60,Verified,2.4,12,credit_card,RENT,Charged Off
25000.0,36,Verified,4.3,8,debt_consolidation,OWN,Fully Paid
10000.0,36,Verified,4.2,12,debt_consolidation,RENT,Fully Paid
8875.0,36,Verified,5.2,5,debt_consolidation,MORTGAGE,Charged Off
15550.0,36,Verified,5.4,12,debt_consolidation,RENT,Fully Paid
17000.0,60,Not Verified,4.3,8,debt_consolidation,RENT,Fully Paid
7500.0,36,Not Verified,5.2,5,credit_card,RENT,Fully Paid
8875.0,36,Not Verified,6.2,6,debt_consolidation,OWN,Fully Paid
4500.0,36,Not Verified,3.4,1,credit_card,RENT,Fully Paid
5800.0,36,Not Verified,5.3,3,debt_consolidation,RENT,Fully Paid
10000.0,36,Not Verified,5.4,2,debt_consolidation,RENT,Fully Paid
10000.0,36,Not Verified,5.6,4,credit_card,RENT,Fully Paid
14000.0,36,Not Verified,5.4,1,credit_card,RENT,Fully Paid
25000.0,60,Verified,2.5,3,credit_card,MORTGAGE,Fully Paid
12000.0,36,Source Verified,6.2,3,debt_consolidation,RENT,Charged Off
24000.0,36,Verified,6.3,6,debt_consolidation,OWN,Fully Paid
14000.0,36,Not Verified,4.5,0,credit_card,RENT,Fully Paid
12000.0,36,Verified,6.2,7,credit_card,MORTGAGE,Fully Paid
15000.0,60,Verified,5.2,3,debt_consolidation,OWN,Charged Off
8050.0,36,Source Verified,5.2,1,debt_consolidation,RENT,Charged Off
