,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
94,Jonathan Gomez ,CAM,69,70,43,74,64,76,69,56,75,74,79,76,84,69,80,62,44,68,58,73,68,42,73,79,77,63,34,35,37,12,14,10,10,7
98,Alejandro Dominguez ,CAM CF CM,70,73,56,78,73,77,83,75,74,80,64,61,71,71,75,80,44,40,67,81,60,28,76,73,78,68,34,24,47,9,11,9,16,12
101,Lucas Ocampos ,RM LW LM,75,69,73,76,61,79,77,65,69,79,77,79,82,76,58,76,70,68,78,67,33,55,74,73,64,45,40,44,44,11,8,15,12,7
102,Alan Ruiz ,CF CAM ST,77,74,63,77,82,85,75,72,78,83,62,64,74,72,72,81,55,75,76,84,42,30,70,79,66,81,29,33,31,7,7,16,13,16
103,Rubens Sambueza ,LM RM CM,78,66,57,77,61,75,82,75,78,79,73,73,73,75,74,75,67,80,75,72,85,60,68,80,70,83,40,48,46,8,6,8,9,16
110,Emiliano Rigoni ,RW LW,78,74,50,74,69,76,77,80,73,75,82,80,77,68,77,68,57,74,58,73,44,30,73,82,60,58,46,41,55,16,6,10,8,16
115,Federico Higuain ,CAM,68,68,62,73,68,76,79,77,75,76,74,69,72,76,76,73,64,67,59,77,65,43,74,78,62,75,43,47,40,7,16,11,12,15
122,Maximiliano Rodriguez ,LM CAM,76,76,61,78,76,77,76,71,75,81,67,68,72,73,70,81,70,55,73,80,73,47,75,74,77,86,31,30,26,15,11,15,9,9
129,Juan Martinez ,RW,68,71,61,70,66,80,62,42,67,78,81,78,83,75,75,75,72,74,64,70,40,33,74,66,71,76,31,40,32,8,16,9,14,8
132,Matias Perez Garcia ,CAM RM LM,73,59,45,73,55,77,79,80,75,79,84,79,82,74,90,73,34,69,55,68,69,43,67,75,69,76,13,19,24,16,9,15,9,14
134,Ezequiel Cerutti ,RM,66,62,64,72,65,77,63,51,65,75,91,88,85,70,74,68,74,76,59,71,73,34,69,70,69,73,18,17,18,10,12,10,14,8
136,Matias Suarez ,CAM ST,72,71,62,74,75,74,74,70,68,76,70,68,74,76,72,73,67,47,57,74,33,18,77,75,68,76,14,29,24,9,16,11,13,8
140,Leandro Romagnoli ,CAM LM RM,66,61,47,79,66,74,75,83,78,81,61,57,71,73,77,74,62,44,59,74,59,49,70,80,82,88,30,30,27,15,15,13,16,10
142,Federico Cartabia ,RM LM CAM CM,75,69,53,77,59,81,77,72,63,78,83,75,80,69,83,80,62,62,39,75,80,34,70,69,66,49,26,35,27,8,6,6,16,14
144,Lucas Zelarayan ,CAM CDM,71,64,50,73,69,79,74,73,72,75,78,76,88,69,86,73,79,70,55,65,50,44,69,78,67,61,44,43,35,1,1,1,1,1
148,Cristian Pavon ,RM ST,62,72,45,76,58,78,71,77,66,74,90,86,90,66,81,75,59,78,45,81,56,19,70,66,59,55,25,28,26,11,10,9,13,7
152,Matias Alustiza ,ST,60,76,73,66,75,74,69,66,64,77,79,76,85,71,84,74,84,66,56,72,62,27,73,66,81,69,28,37,36,10,9,8,8,11
153,Joaquin Correa ,CAM LM,73,66,43,76,67,76,69,63,71,77,72,76,72,68,60,74,42,63,67,71,48,31,67,71,57,60,29,37,26,11,10,7,8,8
159,Ricardo Centurion ,LM CAM,68,65,66,63,60,79,68,68,65,77,86,86,87,75,85,65,55,87,46,64,56,40,61,66,67,68,30,45,50,7,6,7,11,8
161,Gonzalo Martinez ,CAM LM,73,64,32,66,54,82,73,67,64,78,85,83,89,71,83,73,54,62,56,82,34,23,65,65,56,60,27,28,30,6,9,13,12,15
168,Rodrigo De Paul ,LM CAM RW,76,67,43,78,47,81,80,60,71,79,73,69,76,66,69,78,58,63,66,75,56,28,64,70,56,66,38,46,43,13,12,10,7,14
172,Ruben Botta ,RW CM,73,64,38,73,64,80,75,74,73,79,80,77,75,70,77,60,54,70,59,62,55,33,66,78,64,77,31,27,26,8,9,13,8,7
175,Giovani Lo Celso ,CAM,73,55,36,78,69,74,67,72,73,79,76,77,78,64,78,58,57,74,57,59,65,34,66,80,55,57,28,55,48,10,7,10,15,14
177,Lucas Villafanez ,CAM CM RM RW,72,69,49,74,66,76,73,70,71,75,80,78,81,70,84,70,59,66,48,64,44,38,70,70,65,62,35,31,29,9,7,11,10,9
181,Javier Morales ,CAM CM,74,71,55,81,69,68,79,77,76,73,69,65,75,73,81,77,62,65,63,75,66,52,73,72,72,75,35,39,25,12,16,9,8,15
194,Gaston Fernandez ,CAM ST,57,68,68,72,69,73,73,75,68,73,75,73,82,61,74,78,74,58,51,72,56,31,70,75,63,72,30,35,29,6,14,16,10,9
195,Ricardo Noir ,LW RW,69,68,62,71,66,72,71,47,67,71,89,89,78,69,78,72,69,87,66,68,55,57,69,68,59,38,43,37,40,8,10,10,6,12
198,Ignacio Scocco ,ST,65,71,51,69,79,77,81,73,66,76,78,77,75,72,79,79,70,67,64,77,73,33,74,71,69,72,22,30,27,14,12,14,6,12
206,Gabriel Hauche ,ST LM,73,70,58,70,61,77,67,73,64,77,90,89,85,74,78,73,77,73,61,67,82,21,71,69,77,73,32,46,33,11,11,11,11,11
209,Fabian Sambueza ,CAM RM,79,72,37,76,49,71,67,66,70,69,79,81,90,62,89,63,48,71,35,53,55,28,66,79,65,71,35,34,44,13,16,16,13,12
210,Pablo Barrientos ,LM CAM,75,63,63,73,71,80,83,77,77,81,64,63,77,71,79,74,55,55,57,76,65,37,67,77,75,79,27,31,31,6,14,14,9,9
213,Maximiliano Meza ,RM LM,72,68,73,68,62,80,81,79,64,77,77,81,77,67,75,74,80,72,59,79,73,27,60,70,50,59,29,33,32,9,9,16,12,11
217,Lucas Janson ,LM ST,57,77,58,69,61,78,52,48,58,77,73,74,83,71,82,60,80,69,43,69,63,27,79,74,54,59,27,24,26,12,12,8,9,15
218,Daniel Villalva ,LM ST CF,62,68,63,70,73,78,71,63,55,75,91,87,92,68,96,72,86,72,29,72,43,49,69,69,63,77,19,23,22,7,7,8,7,16
220,Hernan Hechalar ,CAM RM,66,71,62,71,64,72,68,64,59,76,79,79,85,74,76,70,64,81,60,65,39,43,73,70,65,68,20,21,19,14,11,16,14,14
226,Hernan Toledo ,LM,59,68,56,66,65,79,72,62,65,78,82,85,73,68,74,68,74,75,75,73,55,60,61,71,58,58,44,46,47,15,14,7,7,10
228,Juan Sanchez Mino ,LM CM,76,68,60,74,64,73,75,75,75,71,79,77,73,68,69,76,70,70,67,76,64,69,66,71,69,69,41,47,40,12,13,11,14,9
232,Federico Carrizo ,LW LM,66,62,52,75,62,76,69,70,76,76,90,89,81,68,80,73,69,72,55,65,55,58,68,70,69,71,24,31,27,8,6,7,9,7
237,Martin Rolle ,CAM,70,61,43,67,55,77,85,81,66,78,72,68,90,72,90,68,77,68,40,68,58,28,69,70,63,72,25,33,32,13,10,7,12,14
240,Gervasio Nunez ,LM CAM,67,64,37,70,59,75,69,66,68,70,76,79,78,70,59,73,72,74,76,62,42,48,68,68,71,69,29,38,34,10,6,16,8,9
241,Omar Perez ,CAM,72,59,59,76,75,69,78,79,75,77,40,41,57,73,67,76,31,30,76,74,58,56,70,81,63,81,46,49,48,10,16,15,7,13
246,Luis Gonzalo Bustamante ,CAM,65,66,43,78,70,71,49,57,76,71,76,72,79,63,80,71,72,63,54,67,56,24,60,76,53,65,35,37,32,8,10,9,16,6
247,Gonzalo Veron ,LM RM ST,66,62,54,67,71,75,45,66,64,70,92,90,78,68,72,69,62,74,66,63,50,33,66,66,61,63,30,37,31,15,7,9,7,7
249,Cristian Omar Espinoza ,RM ST,74,65,46,67,58,78,52,61,58,73,80,79,83,66,76,65,61,66,49,67,34,30,65,74,54,62,22,28,24,16,8,12,7,8
251,Jose Luis Fernandez ,LM,69,62,60,70,52,71,69,68,69,70,82,81,80,69,82,74,78,80,45,74,68,70,66,71,55,69,44,47,51,10,13,9,15,9
252,Nicolas Martinez ,RM CAM LM,66,60,45,73,61,76,81,73,70,74,79,74,75,63,79,62,46,63,56,69,51,49,67,72,68,64,30,33,35,13,16,11,8,9
256,Mauro Formica ,CAM,66,66,65,63,65,76,63,59,67,72,79,77,75,66,76,72,73,62,56,73,52,33,69,74,66,58,23,24,29,14,14,9,13,14
263,Rodrigo Gomez ,LM RM,69,65,52,68,57,73,76,76,67,71,87,86,89,67,87,77,59,85,40,78,68,55,58,58,67,52,47,46,46,14,15,10,15,7
264,Claudio Aquino ,RM CAM,68,70,58,70,66,71,64,36,67,72,79,78,81,66,78,70,72,81,70,68,45,49,68,71,67,61,35,29,26,10,15,16,15,10
274,Walter Montoya ,RM,66,54,46,64,48,78,65,52,65,69,85,81,77,66,80,62,61,74,56,77,53,28,68,74,51,60,41,40,38,9,10,12,15,13
282,Matias Pisano ,RM CAM,65,65,43,70,48,72,72,66,67,70,78,77,81,80,79,69,60,72,32,71,43,36,66,71,49,68,29,37,34,7,10,7,13,8
288,Brian Fernandez ,ST,62,66,62,68,64,77,71,67,64,76,87,88,90,70,89,75,82,69,54,70,37,19,68,64,52,58,19,24,21,9,10,16,7,13
291,Carlos Auzqui ,LM ST,67,69,70,68,69,70,60,68,67,65,83,82,72,68,71,77,77,72,60,72,71,42,69,66,59,55,32,30,33,8,7,10,14,15
295,Leonardo Suarez ,CAM,61,68,54,69,59,81,76,60,58,73,78,70,88,58,91,56,74,53,40,70,36,15,55,75,62,48,19,22,11,11,14,6,15,7
297,Facundo Pereyra ,ST RM,65,73,63,68,64,73,70,69,67,74,76,80,79,73,83,74,69,70,43,68,58,26,70,71,62,69,27,26,39,11,8,15,13,12
