,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
189,Nelson Acevedo ,CDM CM,49,45,70,73,43,66,51,53,70,71,68,70,66,74,64,62,80,88,76,63,72,68,60,62,45,74,72,72,70,6,9,16,6,15
196,Maximiliano Caire ,RB RM LB,58,28,78,59,33,78,58,41,56,60,87,84,76,62,77,51,86,90,67,38,66,75,53,43,35,44,69,72,77,15,7,13,6,7
197,Enzo Kalinski ,CM,59,45,71,76,49,71,66,58,75,75,76,70,71,64,66,53,88,82,80,55,74,68,69,72,41,66,66,71,68,7,6,14,15,8
199,Luciano Abecasis ,RB,78,33,57,67,48,79,68,39,59,62,84,82,77,77,69,42,70,70,60,37,75,65,43,68,47,58,75,69,72,9,11,12,6,15
201,Luciano Aued ,CM CDM,69,52,57,74,59,73,65,66,77,75,58,56,61,73,60,65,56,77,74,63,60,68,69,71,67,57,61,65,60,8,6,15,7,7
202,Hector Canteros ,CDM CM,68,62,59,72,57,69,79,80,71,74,66,70,67,68,72,81,67,81,70,73,73,70,74,77,69,68,66,74,69,7,9,13,13,10
204,Rodrigo Brana ,CM,61,49,61,73,62,76,58,59,81,71,53,54,70,77,71,73,75,54,47,66,79,71,58,73,50,81,68,76,69,15,8,9,8,14
207,Emanuel Insua ,LB,62,55,67,68,30,68,33,42,65,69,79,79,69,72,69,72,76,82,73,63,82,68,63,60,41,65,70,73,75,8,11,7,14,8
214,Juan Mercier ,CDM,66,54,60,73,65,69,70,66,75,71,67,54,64,77,64,70,81,34,77,66,79,74,65,74,63,61,74,75,71,14,11,12,10,15
216,Jorge Ortiz ,CM CDM,67,55,64,75,68,69,67,65,76,75,73,72,68,68,71,77,77,75,63,68,77,72,68,73,66,69,68,72,52,9,16,6,9,9
221,Valentin Vada ,CM,74,61,55,77,58,73,73,73,71,76,70,66,79,76,77,66,58,73,67,60,62,65,71,75,58,65,65,60,55,8,13,15,16,6
224,Maximiliano Velazquez ,LB,79,53,64,77,62,65,74,74,73,73,68,68,62,80,68,77,75,61,66,69,78,73,55,68,60,69,77,73,70,12,12,16,8,11
225,Damian Musto ,CDM,54,34,68,76,32,64,35,55,78,64,54,54,56,73,54,70,65,80,77,69,78,69,59,59,36,39,68,75,68,11,14,9,14,9
227,Andres Cubas ,CDM,58,35,55,78,33,65,43,40,73,70,73,73,91,69,88,59,75,78,32,57,74,78,51,60,51,62,70,79,73,9,12,11,13,7
230,Nicolas Domingo ,CDM,55,50,55,72,57,66,58,46,75,70,64,69,78,74,72,62,71,80,69,68,68,78,55,67,65,57,66,71,67,7,16,14,10,15
231,Sebastian Dubarbier ,LB LWB,75,56,55,66,57,75,72,65,61,71,79,79,70,71,68,67,81,89,74,61,90,73,63,62,59,48,57,75,70,9,11,9,16,8
233,Hernan Grana ,RB,67,43,53,61,40,68,55,45,57,66,79,82,79,68,74,66,73,86,69,69,77,69,65,55,56,57,69,73,74,15,6,11,14,7
238,Jonathan Silva ,LB,73,44,55,72,52,70,70,70,63,71,79,78,74,69,74,79,68,79,59,69,70,70,68,60,55,63,71,67,68,15,6,9,13,10
244,Marcelo Meli ,CM,62,57,64,70,55,69,59,40,65,70,80,78,80,75,79,71,67,92,60,60,78,74,67,72,49,63,68,70,69,8,16,11,7,10
248,Alejandro Faurlin ,CDM CM,62,54,71,77,60,59,63,67,77,70,47,50,58,80,56,66,73,59,80,65,80,67,54,75,49,80,59,69,70,6,12,10,11,15
250,Matias Fritzler ,CDM,39,39,58,69,45,57,59,44,64,63,54,49,65,68,61,66,84,69,62,54,74,83,59,66,51,56,58,82,76,7,8,14,11,11
254,Cristian Pellerano ,CM CDM,51,65,68,74,67,65,71,67,72,69,61,62,60,68,66,73,75,82,81,73,81,78,67,68,65,73,70,70,69,10,10,6,7,7
257,Fabian Rinaudo ,CDM CM,60,49,64,69,60,74,54,53,71,66,76,69,72,74,74,77,76,76,68,72,83,74,60,64,52,78,65,72,79,15,12,15,15,9
259,Ivan Pillud ,RB,63,34,61,64,53,63,71,64,64,64,83,85,62,70,64,74,78,88,75,59,74,64,63,58,70,70,68,70,71,16,14,7,11,7
261,Pablo Alvarez ,LB CB RB,59,43,62,76,43,59,66,53,62,64,68,69,64,75,74,70,75,74,80,59,81,73,52,51,49,72,76,74,71,6,7,6,11,16
262,Francisco Cerro ,CM,66,46,59,77,56,68,59,57,74,72,74,76,66,73,65,73,74,85,77,61,78,73,62,66,53,66,72,73,72,6,15,11,11,14
269,Cristian Villagra ,LB,70,49,55,72,43,68,56,39,69,66,80,79,70,71,72,73,60,76,67,57,80,70,55,61,56,69,69,71,73,14,10,6,7,10
270,Ramon Fernandez ,CAM,62,60,53,72,71,72,75,77,72,74,78,68,72,64,76,73,69,72,64,72,75,59,67,75,70,66,51,55,59,14,14,11,10,9
280,Rafael Delgado ,LB,80,42,76,69,21,76,68,70,69,69,70,72,60,70,68,78,75,77,70,74,75,68,68,70,63,66,65,68,69,9,13,7,14,11
283,Lucas Licht ,LB,80,52,53,52,48,76,73,68,71,69,82,81,73,66,77,71,76,71,58,68,65,67,53,64,83,74,75,73,71,8,14,6,15,8
284,Facundo Sanchez ,RB,62,56,57,64,51,72,51,40,59,71,93,89,75,78,73,67,55,84,61,64,72,62,56,60,62,66,68,70,69,12,7,15,6,14
286,Israel Damonte ,CDM,67,56,65,74,52,70,55,61,72,72,69,54,68,67,69,62,55,56,66,57,78,70,64,69,60,65,69,69,67,12,15,13,9,16
289,Sergio Vittor ,CB,59,49,71,73,55,66,48,41,70,65,55,51,52,66,41,75,49,72,85,67,72,65,61,51,62,61,71,71,67,9,13,14,9,16
292,Fernando Barrientos ,CM,73,42,49,73,42,70,63,58,74,71,69,67,74,67,76,76,71,79,59,74,61,64,63,70,50,63,56,69,61,8,10,9,9,8
294,Santiago Ascacibar ,CDM,46,37,55,71,36,57,46,41,62,55,74,68,74,63,87,51,92,92,46,63,64,83,28,59,48,57,65,78,80,6,10,5,14,9
296,Agustin Farias ,CDM CM,47,49,50,68,45,60,54,44,64,66,55,59,60,68,61,58,70,80,73,54,82,73,45,60,59,58,69,74,69,10,15,11,16,15
298,Ariel Rojas ,CM LB LW,72,66,62,73,71,68,70,65,70,71,66,69,65,71,68,74,70,72,70,73,68,65,70,69,66,68,61,64,57,6,10,14,9,8
299,Federico Vega ,RB,72,34,48,66,44,59,59,41,59,68,77,78,71,64,71,59,69,83,76,47,74,68,59,57,44,66,66,67,72,13,10,7,11,12
