,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
68,German Pezzella ,CB,43,53,83,60,32,47,46,25,54,66,53,54,32,77,48,54,82,64,78,51,81,79,58,22,35,34,75,77,78,7,9,13,10,15
72,Mauro Dos Santos ,CB,52,37,69,69,32,39,53,43,56,66,61,66,64,68,61,52,79,72,80,33,81,73,37,36,46,53,81,80,83,8,14,6,13,12
88,Jonatan Maidana ,CB,59,32,76,55,42,39,45,46,78,61,51,68,58,76,49,45,81,64,82,32,82,74,50,55,46,73,82,80,72,12,9,14,14,14
93,Santiago Vergini ,CB,63,33,74,69,27,54,39,50,65,71,33,50,54,64,49,45,48,70,89,38,68,78,51,59,49,65,76,81,71,6,7,6,13,8
106,Matias Caruzzo ,CB,46,36,71,61,21,22,55,64,58,61,53,54,70,78,57,25,72,78,80,25,81,78,33,59,57,69,82,74,70,9,13,9,6,6
109,Luciano Lollo ,CB,34,25,77,60,28,37,27,29,32,55,37,37,47,74,52,42,90,55,87,25,73,72,33,30,69,70,79,80,72,11,11,8,9,10
111,Martin Mantovani ,CB,47,37,79,76,55,53,63,45,68,68,52,49,53,73,61,59,63,77,82,34,92,74,46,33,42,42,75,75,67,9,9,11,14,12
113,Julio Alberto Barroso ,CB,51,43,76,65,46,43,25,55,64,67,73,72,63,76,69,64,90,77,81,52,51,75,44,59,70,72,80,77,75,11,16,8,9,10
120,Jonathan Schunke ,CB,35,26,82,73,35,32,29,32,73,62,30,34,28,79,29,33,34,62,91,23,74,68,24,29,62,74,79,77,64,7,11,6,13,12
125,Nicolas Spolli ,CB,25,36,78,45,35,45,19,18,45,49,34,54,32,60,32,72,68,54,92,22,73,79,20,25,33,73,79,78,74,8,7,10,10,14
135,Marcos Angeleri ,CB RB,60,37,65,58,42,49,56,47,65,58,67,64,63,78,55,71,82,73,77,41,84,71,40,46,56,79,74,79,77,13,10,7,6,12
137,Renato Civelli ,CB,53,49,85,58,55,31,37,47,56,58,53,45,34,61,37,58,71,58,90,55,82,71,46,48,58,73,75,76,70,13,6,16,14,10
143,Juan Insaurralde ,CB,47,38,77,73,23,39,49,27,56,59,49,49,58,80,46,48,73,62,80,35,79,69,40,57,40,63,78,76,71,11,10,13,6,13
146,Carlos Izquierdoz ,CB,43,45,77,60,50,36,32,26,55,59,54,51,41,74,53,60,85,75,79,54,74,78,23,33,30,45,73,77,76,8,11,7,8,8
150,Matias Zaldivia ,CB CDM CM,64,32,70,65,41,60,44,35,65,64,60,55,48,73,54,47,83,77,78,39,70,72,57,60,41,75,75,75,74,8,14,6,8,12
157,Jose Maria Basanta ,CB,51,41,77,62,45,55,55,40,61,61,64,61,40,76,42,67,74,60,75,52,76,76,49,39,47,71,74,73,71,9,10,10,8,14
164,Leandro Desabato ,CB,50,37,77,76,61,34,24,59,55,43,34,34,30,70,33,53,33,34,91,26,84,75,25,43,50,77,75,73,71,14,16,6,6,11
173,Juan Forlin ,CB,61,36,69,65,40,50,51,38,64,69,62,66,63,69,68,60,90,73,71,27,72,78,41,59,51,67,78,73,72,10,6,7,13,8
176,Fernando Tobio ,CB,59,27,72,64,36,40,39,33,57,55,64,68,43,69,48,40,80,72,83,21,76,72,40,27,36,36,75,73,70,7,8,12,14,11
180,Guillermo Burdisso ,CB,41,39,79,59,36,42,50,11,46,58,50,50,48,69,42,67,47,71,87,21,80,71,31,51,48,66,74,76,73,10,14,14,8,8
185,Daniel Diaz ,CB RB,59,30,76,58,48,42,61,69,59,52,41,33,46,63,59,83,71,34,82,55,90,74,45,43,67,84,78,77,64,6,7,9,15,11
193,German Conti ,CB,28,33,76,66,30,35,34,31,35,43,57,74,46,68,46,48,52,62,72,29,70,77,32,29,47,50,71,77,73,14,8,12,16,13
200,Ezequiel Munoz ,CB,30,19,73,58,18,38,29,30,55,53,55,55,53,65,50,57,82,68,79,31,78,69,21,29,21,62,75,76,75,11,11,7,11,12
205,Javier Gandolfi ,CB,44,34,71,61,50,45,58,64,65,56,67,50,63,62,56,67,82,59,82,40,86,71,26,62,58,70,73,74,72,12,15,12,16,13
208,Emanuel Mammana ,CB,45,28,63,74,36,64,36,34,75,71,74,78,66,67,61,40,70,61,70,25,67,73,46,33,62,54,76,74,75,6,11,12,14,8
222,Ezequiel Luna ,CB,45,31,69,65,18,46,27,33,51,50,54,54,32,65,60,56,81,64,81,32,81,69,35,35,33,53,77,75,73,12,6,6,12,8
223,German Voboril ,LB,64,34,54,66,29,66,55,21,61,67,77,76,64,65,65,26,71,74,70,29,71,79,21,41,37,52,61,77,83,9,11,13,8,12
234,Diego Braghieri ,CB,28,35,73,57,37,50,39,32,50,55,67,64,45,66,54,75,64,53,79,62,81,69,32,44,48,67,74,72,73,7,9,14,6,7
242,Nicolas Sanchez ,CB,57,40,74,58,22,55,57,46,61,56,51,64,55,69,49,20,88,71,81,20,72,68,28,45,56,69,72,73,71,9,8,16,14,6
245,Nicolas Gorosito ,CB,58,45,74,67,41,49,45,58,62,61,67,71,59,59,52,66,76,78,77,48,81,66,55,54,53,69,72,71,74,5,12,11,10,12
255,German Lanaro ,CB,29,15,72,69,24,40,25,24,69,56,52,53,53,63,44,61,82,77,85,55,78,59,22,35,40,43,74,74,71,10,11,10,14,6
258,Alexander Barboza ,CB,33,24,80,73,17,48,22,23,42,57,49,50,43,56,42,35,51,57,81,29,58,62,25,31,41,36,72,81,73,11,11,10,7,12
260,Guido Rodriguez ,CDM CM,59,41,65,72,47,59,49,42,71,67,59,61,53,62,57,59,48,72,78,45,83,72,50,59,53,50,67,75,69,12,11,14,16,6
266,Jonathan Bottinelli ,CB,50,35,75,68,40,49,43,38,51,58,42,49,36,76,68,52,79,60,73,27,81,71,17,41,41,72,73,72,64,7,11,6,6,14
271,Jorge Figal ,CB,53,38,69,62,25,60,42,28,61,65,74,73,73,78,65,57,76,71,70,42,68,74,30,32,33,73,70,76,70,7,11,7,16,9
275,Pablo Alvarado ,CB,56,31,72,58,28,56,27,34,55,61,54,69,66,69,58,45,84,70,74,34,67,70,43,34,40,39,72,73,72,14,6,14,7,11
276,Hugo Campagnaro ,CB RB,58,28,68,56,29,60,37,35,56,60,55,65,53,64,66,71,83,55,83,36,70,72,38,44,38,78,74,72,72,10,13,15,12,15
281,Diego Novaretti ,CB,34,26,73,62,15,32,46,39,62,50,51,49,38,55,34,31,36,62,90,26,70,77,13,42,30,62,72,76,70,6,11,7,12,11
285,Diego Colotto ,CB,45,48,79,54,57,57,33,53,66,60,53,51,57,69,54,69,74,55,74,56,73,74,46,43,55,70,75,72,68,16,16,8,7,11
293,Marco Torsiglieri ,CB,59,39,74,58,47,45,61,55,64,51,34,35,41,64,34,58,46,59,91,35,76,70,40,54,61,63,72,70,71,9,14,10,14,10
