link,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
http://sofifa.com/player/195671,Charlie Austin ,ST,56,82,81,59,72,66,59,43,46,74,66,74,65,78,55,83,82,74,81,71,67,47,83,61,77,78,31,37,22,9,11,7,9,13
http://sofifa.com/player/183427,Fabian Delph ,CM,69,63,53,80,59,83,72,48,76,79,79,77,89,72,86,80,72,89,64,73,82,75,71,72,65,76,63,73,71,10,9,14,11,6
http://sofifa.com/player/152747,Aaron Lennon ,RM,78,69,28,76,68,84,63,55,54,81,87,86,93,74,92,64,71,81,59,57,57,42,71,73,62,80,40,37,37,14,7,7,16,11
http://sofifa.com/player/163264,Tom Heaton ,GK,13,12,14,28,12,14,15,13,31,22,52,50,54,71,48,14,69,36,62,12,31,17,12,44,24,56,15,15,13,79,75,73,78,80
http://sofifa.com/player/169706,Jack Cork ,CDM CM,57,54,71,80,60,73,39,24,78,77,64,55,63,77,71,57,72,83,72,50,70,80,65,74,47,80,71,78,76,13,11,16,6,6
http://sofifa.com/player/207599,Michael Keane ,CB,49,41,81,71,30,59,32,25,67,64,70,67,46,69,59,54,80,77,84,43,64,77,23,47,48,75,79,80,78,16,7,8,14,11
http://sofifa.com/player/190717,Michail Antonio ,RM RWB LM ST,73,73,88,71,68,81,66,60,66,78,88,89,86,75,76,75,82,80,85,70,75,40,77,65,73,67,44,56,53,12,13,8,14,10
http://sofifa.com/player/195859,Danny Ings ,ST,62,77,71,69,66,78,57,36,61,77,89,84,79,74,82,74,81,81,73,67,60,39,79,68,68,70,33,24,27,10,13,12,16,6
http://sofifa.com/player/189725,Tom Cleverley ,LM CM CDM,74,64,48,83,68,79,59,62,80,80,66,74,72,77,77,74,62,73,56,75,71,65,74,77,72,72,47,59,49,15,11,9,12,13
http://sofifa.com/player/137782,Glen Johnson ,RB LB,75,58,68,75,56,78,69,54,70,76,77,77,73,74,68,79,77,79,72,70,75,69,68,68,60,72,77,77,80,13,7,7,6,7
http://sofifa.com/player/169792,Jay Rodriguez ,LM ST,70,79,76,76,74,79,69,29,66,75,79,84,79,77,65,75,81,85,71,74,41,44,80,69,71,74,16,28,21,12,12,16,14,9
http://sofifa.com/player/194932,Andros Townsend ,RM LM,77,74,52,75,59,82,68,76,67,78,86,85,80,69,71,82,48,69,57,78,43,21,70,71,83,68,32,29,27,13,11,11,11,13
http://sofifa.com/player/173436,Nathan Dyer ,RM RW,64,75,32,74,52,80,58,42,65,78,92,88,86,67,95,75,70,84,56,74,69,35,74,66,70,67,33,45,48,12,11,14,8,16
http://sofifa.com/player/140415,Leon Britton ,CDM CM,65,55,41,85,47,76,61,58,79,81,52,54,77,78,91,51,70,70,58,48,77,73,55,82,59,86,70,75,69,10,16,7,7,15
http://sofifa.com/player/207494,Jesse Lingard ,RM LM CAM,71,70,61,75,64,78,72,56,65,80,85,82,84,76,84,71,65,81,54,69,60,47,76,74,65,65,49,49,41,14,10,8,13,9
http://sofifa.com/player/169607,Lee Cattermole ,CDM CM,61,49,66,74,58,64,57,58,76,73,67,68,64,70,71,74,63,79,78,59,93,77,47,67,64,67,72,82,80,11,9,15,14,15
http://sofifa.com/player/163761,Curtis Davies ,CB,25,35,78,59,33,43,26,25,55,65,68,68,62,75,56,49,80,73,84,34,68,79,42,56,33,71,77,79,77,7,9,10,15,10
http://sofifa.com/player/186345,Kieran Trippier ,RB,84,45,69,71,44,72,75,68,69,71,78,78,78,71,76,77,73,85,69,66,66,74,60,72,39,67,75,74,76,11,14,8,11,10
http://sofifa.com/player/189165,Jonjo Shelvey ,CM CDM,73,67,69,82,56,74,66,73,84,75,64,67,62,72,67,85,65,77,76,81,82,58,70,80,71,75,55,65,59,14,11,15,8,16
http://sofifa.com/player/120312,Michael Dawson ,CB,19,22,81,56,23,17,23,11,73,58,34,31,50,72,54,62,80,66,80,21,80,75,35,43,44,72,80,80,78,8,6,6,13,15
http://sofifa.com/player/231677,Marcus Rashford ,ST LM RM,65,76,68,71,71,81,64,65,56,78,92,90,86,74,76,74,72,79,61,64,55,38,79,68,74,72,22,25,25,11,6,15,7,14
http://sofifa.com/player/204289,Saido Berahino ,ST,51,80,67,62,68,76,63,61,55,77,85,80,74,71,71,81,62,64,62,68,47,33,79,54,73,72,20,18,23,7,11,14,10,15
http://sofifa.com/player/205569,James Ward,CM CAM RM CDM,88,53,57,81,51,71,86,79,80,78,69,68,74,73,79,74,68,76,64,70,67,65,61,82,64,79,55,65,62,12,12,10,15,15
http://sofifa.com/player/54051,Wayne Routledge ,LM ST LW RM,74,69,34,73,71,83,61,28,72,77,71,74,82,73,87,68,71,69,73,55,36,39,72,74,63,69,30,37,46,15,11,8,10,15
http://sofifa.com/player/183130,Marc Albrighton ,LM,83,68,42,72,72,77,82,71,68,76,80,78,79,69,76,71,60,82,61,67,73,56,70,74,60,66,41,47,45,15,9,8,15,14
http://sofifa.com/player/194138,Andre Gray ,ST,59,77,65,66,68,70,48,39,51,69,91,91,72,74,76,80,70,79,79,65,61,24,79,67,74,69,20,13,17,11,16,11,9,14
http://sofifa.com/player/196978,Callum Wilson ,ST,52,79,62,70,65,73,62,45,60,75,93,90,81,70,79,69,66,77,81,64,73,40,77,71,75,78,20,39,25,10,15,8,10,6
http://sofifa.com/player/204935,Jordan Pickford ,GK,17,19,15,28,20,14,18,16,33,21,48,41,33,68,67,31,59,44,50,13,23,24,18,66,41,27,14,20,12,74,76,85,73,78
http://sofifa.com/player/189324,Alex McCarthy ,GK,11,17,16,33,12,17,15,18,35,17,58,56,35,69,43,20,68,35,63,14,35,22,16,50,41,63,13,13,12,78,73,61,74,81
http://sofifa.com/player/189615,Aaron Cresswell ,LB,80,53,58,72,45,76,75,69,68,75,78,78,78,68,90,71,85,83,57,62,68,71,60,68,59,72,76,75,78,14,7,9,9,12
http://sofifa.com/player/152514,Jason Puncheon ,CAM CM LM RM,77,69,41,75,70,76,76,78,74,75,72,74,74,72,80,77,73,70,66,74,69,35,76,77,73,63,40,52,43,13,13,14,16,12
http://sofifa.com/player/173546,James Tomkins ,CB RB,45,29,78,61,28,50,33,31,60,58,55,56,51,73,53,40,74,75,76,29,73,74,45,50,43,69,77,79,80,11,8,6,9,14
http://sofifa.com/player/169214,Scott Sinclair ,LM,72,75,68,72,65,79,69,69,50,77,89,88,88,62,80,74,64,81,57,65,45,45,75,67,82,69,19,30,28,13,11,10,13,15
http://sofifa.com/player/54033,Tom Huddlestone ,CM CDM,76,60,72,81,79,66,68,74,79,82,34,50,34,73,44,91,57,41,87,75,77,74,63,84,72,78,70,68,66,10,7,11,9,11
http://sofifa.com/player/186392,Joel Ward ,RB LB,73,46,75,70,33,64,43,34,69,67,68,69,66,73,63,70,66,77,78,63,74,77,64,68,40,73,77,78,77,8,7,7,10,11
http://sofifa.com/player/178487,Craig Gardner ,CM LM RM CDM,70,65,68,74,71,68,70,76,75,76,55,53,69,76,74,87,66,84,73,84,87,70,72,70,81,76,70,72,73,12,9,9,16,14
http://sofifa.com/player/51257,Peter Crouch ,ST,59,75,83,76,80,62,57,50,63,77,47,49,56,78,29,75,34,70,74,70,70,23,80,74,74,78,31,26,20,13,14,7,10,14
http://sofifa.com/player/198719,Nathan Redmond ,RM ST,71,66,33,69,55,79,69,65,63,77,89,84,90,63,84,71,48,70,43,71,38,22,71,72,60,62,18,26,30,12,14,16,6,10
http://sofifa.com/player/205670,Dwight Gayle ,ST LM,59,79,68,62,68,69,50,75,52,71,86,83,84,74,80,73,71,66,61,72,46,35,78,34,73,76,12,21,13,10,7,16,8,8
http://sofifa.com/player/164464,Bradley Wright,ST,54,81,65,63,67,67,61,50,45,70,76,74,75,82,78,75,70,75,65,67,65,42,82,64,67,75,19,24,15,12,13,13,10,6
http://sofifa.com/player/169600,Danny Simpson ,RB,68,27,70,64,50,64,44,32,58,67,76,72,64,75,81,37,79,79,72,54,79,77,58,63,54,60,75,77,76,10,15,13,9,11
http://sofifa.com/player/189059,Jake Livermore ,CM CDM CB,65,64,69,78,59,72,69,58,75,75,68,68,65,74,73,72,72,85,77,69,83,76,61,73,57,79,70,72,66,9,15,8,10,9
http://sofifa.com/player/193942,Jack Colback ,CDM CM,61,54,56,79,47,69,60,59,74,75,68,65,75,72,73,71,79,86,61,64,84,74,53,61,59,65,69,74,76,6,6,6,10,7
http://sofifa.com/player/205989,Calum Chambers ,CB RB,70,47,68,73,49,68,59,49,65,73,58,70,66,66,67,52,71,75,74,56,83,72,54,54,54,68,75,79,77,11,14,12,7,12
http://sofifa.com/player/183465,Jack Rodwell ,CM,68,69,78,75,66,72,66,47,72,75,64,64,73,74,62,77,78,79,75,75,73,75,70,74,57,71,72,73,66,9,10,15,11,12
http://sofifa.com/player/206516,Will Hughes ,CM,64,61,58,77,46,77,56,48,73,78,70,67,73,75,80,58,54,74,60,56,67,62,68,79,60,78,67,68,67,7,15,12,9,12
http://sofifa.com/player/201155,Ravel Morrison ,CAM CM,68,66,49,78,65,81,62,61,74,79,75,76,77,66,76,67,48,69,58,67,63,35,68,74,56,68,35,55,43,14,15,13,12,8
http://sofifa.com/player/199633,Matthew Lowton ,RB,75,49,69,71,75,69,62,40,61,72,77,76,69,76,65,72,77,83,70,68,74,74,60,60,49,74,70,74,74,11,6,6,13,7
http://sofifa.com/player/138193,Joey Barton ,CM CDM,78,64,63,74,61,72,70,75,74,74,55,55,68,71,72,72,71,87,74,73,92,72,72,74,73,76,62,74,74,12,10,11,9,8
http://sofifa.com/player/190683,Ryan Mason ,CDM CM CAM,70,64,55,82,64,71,70,66,75,74,68,68,74,73,77,72,48,80,60,71,79,68,74,75,69,71,69,73,69,7,10,10,16,14
http://sofifa.com/player/172768,Andrew Surman ,CM CDM,68,63,59,82,55,72,61,68,76,74,64,62,63,69,73,67,71,80,69,65,68,65,65,76,67,73,62,68,62,16,14,7,16,8
http://sofifa.com/player/193504,Steven Caulker ,CB,45,32,74,66,17,56,59,25,65,66,68,76,64,72,57,42,74,77,82,23,67,75,25,43,50,77,74,76,76,14,15,7,7,15
http://sofifa.com/player/186598,Kyle Naughton ,RB,71,45,70,73,52,64,43,28,66,68,76,75,71,70,71,68,73,74,68,52,68,73,54,59,47,69,71,78,79,12,10,9,9,11
http://sofifa.com/player/199915,Lewis Dunk ,CB,27,37,75,66,24,58,23,28,65,62,54,65,52,72,44,42,52,70,82,12,80,78,23,45,36,67,71,74,73,15,16,9,12,6
http://sofifa.com/player/193011,Steve Cook ,CB,40,24,71,68,31,54,22,22,60,68,67,53,56,69,70,47,71,68,81,16,74,72,12,35,20,74,74,79,73,14,12,7,14,12
http://sofifa.com/player/54013,Stewart Downing ,LM CAM RM,78,66,62,72,70,76,80,74,73,77,74,72,71,71,74,74,42,75,62,73,36,46,70,74,68,68,42,26,37,10,12,16,16,9
http://sofifa.com/player/186385,Adam Clayton ,CDM CM,56,60,45,75,40,69,67,66,72,72,69,70,70,71,72,70,59,78,64,71,82,74,55,73,66,76,63,75,72,14,9,10,12,10
http://sofifa.com/player/211504,Lewis Baker ,CM CAM,76,73,58,77,69,70,78,82,77,77,68,72,70,69,72,81,54,76,73,81,63,59,61,76,78,68,52,59,52,8,15,12,8,6
http://sofifa.com/player/200758,Liam Moore ,CB,58,20,70,65,34,60,37,24,67,66,68,73,59,70,66,55,77,68,80,32,75,72,37,51,20,66,70,72,77,8,9,7,8,10
http://sofifa.com/player/202052,Benik Afobe ,ST,49,77,66,67,70,71,68,57,52,73,85,82,70,68,69,68,77,71,76,67,60,25,78,65,72,70,21,22,17,7,6,9,10,7
http://sofifa.com/player/123463,Jermaine Pennant ,RM RW,76,62,47,75,61,82,82,75,72,77,78,74,84,62,79,67,66,62,71,64,63,37,65,64,61,64,32,40,35,10,11,6,6,7
http://sofifa.com/player/200521,Tom Ince ,RW LW CAM,71,71,40,67,44,77,75,73,59,76,83,80,86,68,81,70,55,68,48,71,38,30,73,70,68,67,22,24,21,9,12,15,8,8
http://sofifa.com/player/164462,Nedum Onuoha ,CB RB,57,32,73,58,53,60,46,51,57,58,74,82,47,65,51,40,71,66,87,30,78,73,44,57,53,60,72,74,76,13,14,7,11,13
http://sofifa.com/player/191089,Connor Wickham ,ST,63,76,74,63,62,68,53,69,57,73,69,73,57,72,53,79,70,74,84,69,69,18,68,60,75,65,19,28,20,8,16,6,10,12
http://sofifa.com/player/179574,Gary Hooper ,ST,59,76,74,70,67,65,48,50,52,73,72,71,71,75,74,75,74,69,73,67,54,15,74,69,72,76,22,27,15,13,7,9,16,12
http://sofifa.com/player/183422,Jonny Howson ,CM CDM RM,63,68,45,75,60,70,66,63,72,72,68,68,72,75,69,75,58,88,64,75,69,61,71,75,71,75,50,70,64,16,9,12,11,12
http://sofifa.com/player/172937,Glenn Murray ,ST,48,77,81,65,70,63,57,33,55,70,55,54,59,74,74,75,83,63,79,69,74,45,80,68,75,77,24,29,23,15,16,14,7,10
http://sofifa.com/player/169638,Charlie Daniels ,LB,74,48,64,73,32,71,67,68,68,72,79,78,73,66,72,68,78,79,72,46,51,69,69,72,72,60,71,76,72,14,16,13,6,7
http://sofifa.com/player/182184,Dale Stephens ,CM,70,63,65,77,69,65,67,61,73,72,65,67,70,72,68,67,88,84,65,70,72,71,66,71,44,68,67,74,69,11,15,8,13,10
http://sofifa.com/player/135883,Simon Francis ,CB RB,75,25,68,72,26,69,51,61,64,73,68,70,58,67,60,64,55,76,77,62,73,71,58,61,44,69,73,77,75,12,6,10,8,12
http://sofifa.com/player/189682,Ben Mee ,CB LB,67,27,72,61,29,63,38,31,65,65,69,69,66,68,73,60,91,79,78,39,68,73,30,50,36,69,75,72,75,15,7,12,10,14
http://sofifa.com/player/101880,Rob Green ,GK,19,12,15,26,12,14,16,13,14,15,50,34,48,73,40,22,68,26,59,11,26,20,13,58,21,49,12,12,11,76,69,60,72,76
http://sofifa.com/player/169721,Micah Richards ,CB RB,65,40,77,63,43,60,45,32,56,63,74,76,70,56,67,63,90,69,88,39,85,71,52,51,53,61,62,74,76,7,16,15,16,8
http://sofifa.com/player/186116,Henri Lansbury ,CM CAM,66,68,47,73,57,68,69,70,73,73,64,65,71,69,65,70,62,81,74,73,81,67,70,73,72,71,56,60,62,11,16,15,14,13
http://sofifa.com/player/188168,George Friend ,LB,66,50,68,68,34,74,67,57,59,69,75,73,71,65,50,63,72,85,82,56,62,70,64,53,50,62,73,76,74,11,13,15,6,12
http://sofifa.com/player/163600,John Ruddy ,GK,14,17,12,25,11,14,13,13,23,24,38,47,42,75,34,24,76,36,76,15,24,22,15,33,43,53,11,11,11,73,68,74,74,73
http://sofifa.com/player/34079,Ashley Cole ,LB,67,30,64,70,57,71,68,46,72,74,69,69,77,78,76,66,74,68,66,48,73,75,61,60,58,76,70,70,74,14,7,14,6,6
http://sofifa.com/player/193569,Tom Lees ,CB,63,36,73,66,20,59,33,20,62,63,62,65,61,66,68,38,81,70,80,35,69,69,38,56,42,68,74,75,73,13,14,14,9,15
http://sofifa.com/player/160292,Ben Watson ,CM CDM,74,67,58,76,63,68,80,76,74,72,64,54,71,73,75,73,74,78,70,64,61,72,64,71,78,74,64,72,69,13,8,14,6,6
http://sofifa.com/player/205351,Alex Pritchard ,CAM CM LM,63,67,44,73,51,76,73,78,65,73,77,70,73,64,85,70,58,75,39,69,67,37,70,74,66,55,46,40,43,13,13,14,10,8
http://sofifa.com/player/186158,Kyle Bartley ,CB,39,24,76,64,23,40,33,34,51,63,67,64,46,62,34,36,54,78,83,20,80,69,25,38,46,68,72,73,69,6,10,14,10,7
http://sofifa.com/player/170305,Cole Skuse ,CDM CM,63,58,66,70,46,62,68,57,69,71,64,67,67,69,64,66,70,84,70,58,70,77,58,67,61,74,67,72,70,13,12,9,9,10
http://sofifa.com/player/165191,Cameron Jerome ,ST,51,73,72,65,66,69,66,64,53,66,77,85,75,68,65,80,82,77,80,70,76,55,71,67,70,69,34,42,32,13,16,16,16,13
http://sofifa.com/player/189280,Ashley Westwood ,CM CDM,76,47,44,76,48,59,64,75,79,77,70,63,73,76,79,62,63,75,60,57,49,70,54,76,55,79,61,66,64,10,13,13,7,8
http://sofifa.com/player/139368,Jason Shackell ,CB,42,32,73,67,37,58,42,21,63,61,60,60,56,70,49,61,74,76,82,34,72,72,50,45,31,72,74,71,72,8,9,7,8,6
http://sofifa.com/player/157804,Scott Carson ,GK,14,19,18,25,13,17,18,16,17,20,42,51,38,71,42,22,75,28,71,20,23,24,14,53,20,32,18,15,20,73,73,79,70,70
http://sofifa.com/player/190852,Callum McManaman ,RW ST RM,63,70,37,67,55,81,39,36,56,76,79,76,82,67,75,64,34,61,57,57,71,29,72,72,64,67,30,17,14,10,13,15,14,10
http://sofifa.com/player/140422,Alex Baptiste ,CB RB,55,33,73,56,25,55,27,17,48,57,66,68,71,66,69,57,83,77,80,40,73,68,55,50,34,57,72,74,74,12,13,8,10,9
http://sofifa.com/player/200841,Carl Jenkinson ,RB,73,41,60,69,60,68,60,52,64,68,68,78,62,70,68,72,64,78,74,41,71,69,67,62,49,62,74,75,74,12,15,15,11,12
http://sofifa.com/player/180635,Tommy Elphick ,CB,46,32,74,65,13,50,37,39,50,68,45,42,57,66,49,55,74,66,80,43,76,73,26,41,29,53,74,72,70,12,13,7,7,16
http://sofifa.com/player/184749,Dan Gosling ,CM,68,64,61,73,64,66,57,57,71,71,66,64,65,69,72,71,67,77,64,73,76,70,77,73,61,77,66,68,68,6,15,14,15,6
http://sofifa.com/player/182207,David Stockdale ,GK,11,15,11,42,12,13,15,12,45,22,32,36,24,75,37,20,51,25,61,13,39,22,13,51,19,34,11,15,13,74,69,78,69,75
http://sofifa.com/player/200408,Ben Gibson ,CB,28,24,73,59,20,30,31,22,50,58,63,64,56,63,68,33,75,63,78,28,58,72,24,29,21,50,76,77,73,12,8,16,16,11
http://sofifa.com/player/204760,Charlie Taylor ,LB,74,49,63,65,43,71,69,61,58,69,79,76,72,70,66,63,74,82,73,59,66,68,62,54,45,63,70,72,71,13,6,14,13,8
http://sofifa.com/player/184037,Martin Kelly ,RB LB,73,38,77,68,39,60,60,35,64,66,62,63,59,72,56,66,70,76,79,38,71,68,42,39,58,75,76,80,78,7,11,8,7,8
http://sofifa.com/player/169708,Sam Hutchinson ,CB CDM CM,68,51,66,72,40,62,49,56,67,67,69,71,61,69,63,57,73,65,72,53,91,71,48,53,55,70,68,71,75,10,7,12,11,10
http://sofifa.com/player/208892,Sam Byram ,RB RM,70,62,66,70,43,72,55,33,65,73,77,78,77,73,70,66,79,79,70,60,66,67,65,68,50,72,69,71,70,10,9,15,16,13
http://sofifa.com/player/162054,Mark Bunn ,GK,14,15,11,18,11,16,13,16,43,34,48,46,54,67,63,27,68,33,60,14,40,20,14,44,44,48,12,20,14,73,72,74,70,72
http://sofifa.com/player/189446,Junior Stanislas ,RM LM,71,69,43,71,49,72,70,75,64,70,79,84,79,64,60,69,48,76,56,66,31,60,63,69,61,64,16,27,29,13,8,6,7,6
